iter	Passed	Remaining
889	20830	2574
890	20853	2551
891	20876	2527
892	20898	2504
893	20919	2480
894	20939	2456
895	20960	2432
896	20981	2409
897	21001	2385
898	21021	2361
899	21042	2338
900	21062	2314
901	21083	2290
902	21105	2267
903	21127	2243
904	21149	2220
905	21172	2196
906	21193	2173
907	21216	2149
908	21236	2125
909	21259	2102
910	21280	2079
911	21301	2055
912	21322	2031
913	21346	2008
914	21367	1984
915	21389	1961
916	21412	1938
917	21433	1914
918	21459	1891
919	21480	1867
920	21506	1844
921	21527	1821
922	21548	1797
923	21570	1774
924	21591	1750
925	21613	1727
926	21636	1703
927	21657	1680
928	21679	1656
929	21700	1633
930	21723	1609
931	21746	1586
932	21767	1563
933	21786	1539
934	21805	1515
935	21826	1492
936	21845	1468
937	21869	1445
938	21892	1422
939	21913	1398
940	21934	1375
941	21954	1351
942	21981	1328
943	22000	1305
944	220944	2237945	220945	2241946	220946	2243947	220947	2245948	221948	2248949	221949	2250950	221950	2253951	221951	2255952	222952	2258953	222953	2261954	222954	2264955	222955	22671	1043
956	22699	1019
957	22728	996
958	22752	972
959	22770	948
960	22799	925
961	22823	901
962	22846	877
963	22871	854
964	22894	830
965	22918	806
966	22945	783
967	22973	759
968	23002	735
969	23031	712
970	23053	688
971	23079	664
972	23105	641
973	23129	617
974	23154	593
975	23180	570
976	23203	546
977	23229	522
978	23254	498
979	23277	475
980	23296	451
981	23319	427
982	23342	403
983	23366	379
984	23384	356
985	23405	332
986	23423	308
987	23447	284
988	23467	261
989	23487	237
990	23510	213
991	23531	189
992	23549	166
993	23571	142
994	23590	118
995	23607	94
996	23625	71
997	23643	47
998	23660	23
999	23679	0
715	23
999	23736	0
4784	149
994	24803	124
995	24824	99
996	24845	74
997	24865	49
998	24888	24
999	24910	0
1732
971	58031	1671
972	58050	1610
973	58069	1550
974	58087	1489
975	58104	1428
976	58123	1368
977	58144	1307
978	58160	1247
979	58179	1187
980	58199	1127
981	58218	1067
982	58237	1007
983	58258	947
984	58276	887
985	58296	827
986	58317	768
987	58334	708
988	58354	649
989	58375	589
990	58400	530
991	58416	471
992	58432	411
993	58448	352
994	58473	293
995	58490	234
996	58509	176
997	58529	117
998	58551	58
999	58571	0
